date,close,volume,open,high,low
8/19/2016,46.94,1570714,46.71,46.9899,46.51
8/18/2016,46.86,2069706,46.25,46.93,46.05
8/17/2016,46.31,3365364,45.78,46.32,45.53
8/16/2016,45.8,1586418,46.04,46.09,45.79
8/15/2016,46.28,1312827,46.53,46.58,46.27
8/12/2016,46.58,2001732,46.25,46.64,46.07
8/11/2016,46.15,2274276,46.45,46.53,46.065
8/10/2016,46.36,2211165,46.74,46.74,46.28
8/9/2016,46.66,1776108,46.33,46.73,46.29
8/8/2016,46.65,2257493,46.43,46.84,46.34
8/5/2016,46.31,3493828,47,47.15,46.28
8/4/2016,46.81,1672675,46.94,47.24,46.68
8/3/2016,46.94,3638505,46.74,47.12,46.51
8/2/2016,46.74,3113736,47.26,47.26,46.65
8/1/2016,46.91,2538264,46.7,47.01,46.62
7/29/2016,46.76,2372827,46.39,47.04,46.33
7/28/2016,46.41,2895536,45.87,46.51,45.8
7/27/2016,45.98,4048102,46.45,46.54,45.95
7/26/2016,46.65,2424030,47.39,47.595,46.62
7/25/2016,47.37,1542946,47.23,47.4498,47.19
7/22/2016,47.32,2369194,47.03,47.38,46.95
7/21/2016,47,1819131,47.5,47.5,46.89
7/20/2016,47.44,2729017,47.87,47.87,47.4
7/19/2016,47.77,2750722,47.76,48.08,47.62
7/18/2016,48.06,1600562,48.04,48.25,47.96
7/15/2016,47.98,2395197,48.19,48.29,47.84
7/14/2016,48.1,1782870,48.18,48.3561,48.02
7/13/2016,48.18,2045713,47.65,48.215,47.51
7/12/2016,47.72,2181019,48.15,48.21,47.66
7/11/2016,48.11,3070039,48.24,48.29,47.965
7/8/2016,48.3,3065617,47.88,48.35,47.88
7/7/2016,47.73,4073802,47.7,48.265,47.645
7/6/2016,47.5,4748922,47.58,47.76,47.47
7/5/2016,47.73,4138556,48.18,48.38,47.72
7/1/2016,48.39,3983793,47.91,48.81,47.82
6/30/2016,47.81,5943150,46.82,48.06,46.1
6/29/2016,47.6,6865296,46.94,47.6,46.6975
6/28/2016,47.1,3329560,47.09,47.29,46.71
6/27/2016,46.96,4438389,46.7,47.1,46.39
6/24/2016,46.95,8415075,47.07,47.46,46.65
6/23/2016,47.91,3431930,47.79,47.94,47.405
6/22/2016,47.4,2723070,47.62,47.85,47.23
6/21/2016,47.46,1804351,47.2,47.565,47.2
6/20/2016,47.08,2351315,47.19,47.61,47.065
6/17/2016,46.87,3609491,46.96,46.99,46.38
6/16/2016,47.04,2145550,46.45,47.07,46.35
6/15/2016,46.49,1929089,46.66,46.7901,46.37
6/14/2016,46.62,1888678,46.48,46.7,46.07
6/13/2016,46.47,2057409,46.83,47.17,46.4
6/10/2016,46.95,1337537,46.95,47.205,46.71
6/9/2016,47.15,1900066,46.7,47.17,46.58
6/8/2016,46.74,1993789,46.63,46.93,46.51
6/7/2016,46.66,2442806,46.37,46.8,46.29
6/6/2016,46.3,1967949,46.44,46.65,46.12
6/3/2016,46.51,2728124,46.1,46.78,46.01
6/2/2016,46.18,2422149,45.63,46.21,45.5408
6/1/2016,45.7,2600416,45.67,45.91,45.31
5/31/2016,45.7,4710004,45.87,46.3,45.59
5/27/2016,45.29,1305078,45.45,45.65,45.1058
5/26/2016,45.45,2095815,44.83,45.495,44.74
5/25/2016,44.72,1520121,44.55,44.845,44.51
5/24/2016,44.59,2860331,44.41,44.68,44.24
5/23/2016,44.34,2377158,44.3,44.64,44.18
5/20/2016,44.38,2269365,44.8,44.92,44.2
5/19/2016,44.72,1510519,44.61,44.78,44.22
5/18/2016,44.72,2497414,44.52,44.94,43.95
5/17/2016,44.67,2753628,45.49,45.66,44.41
5/16/2016,45.7,2097604,45.88,45.94,45.58
5/13/2016,45.88,1816029,46.36,46.48,45.5601
5/12/2016,46.43,1993582,46.04,46.64,46.02
5/11/2016,45.83,1756830,46.29,46.51,45.71
5/10/2016,46.34,2573657,45.84,46.35,45.6
5/9/2016,45.68,2309113,45.08,45.83,45.02
5/6/2016,44.99,1563783,44.88,45.06,44.07
5/5/2016,44.88,1680435,44.71,45.1,44.51
5/4/2016,44.78,1910976,44.17,45,44.09
5/3/2016,44.33,2025755,44.66,44.76,44.16
5/2/2016,44.9,2090867,44.62,45.29,44.58
4/29/2016,44.56,1853803,44.52,44.83,44.24
4/28/2016,44.69,2127379,44.53,44.96,44.48
4/27/2016,44.88,2208159,44.39,45.02,44.28
4/26/2016,44.6,2569737,44.57,45.06,44.48
4/25/2016,44.55,1989995,44.38,44.75,44.23
4/22/2016,44.58,2107568,44.47,44.67,43.98
4/21/2016,44.45,3633322,45.32,45.39,44.29
4/20/2016,45.39,3708499,45.23,45.66,44.85
4/19/2016,45.29,3287932,45.82,45.82,45.2603
4/18/2016,45.65,2522453,45.6,45.75,45.36
4/15/2016,45.64,3110633,45.29,45.79,45.24
4/14/2016,45.23,2982774,45.53,45.96,45.19
4/13/2016,45.71,3386754,46.34,46.5,45.47
4/12/2016,46.31,3102177,45.73,46.44,45.665
4/11/2016,45.69,2442412,46.14,46.32,45.655
4/8/2016,46.14,2987555,46.37,46.46,45.8
4/7/2016,46.09,4886006,45.63,46.64,45.03
4/6/2016,45.43,3263745,45.07,45.49,44.96
4/5/2016,45.09,2526554,45.27,45.47,44.92
4/4/2016,45.41,3285647,45.3,45.45,44.74
4/1/2016,45.76,3930081,44.33,45.84,44.21
3/31/2016,44.62,3093785,44.86,45.03,44.5
3/30/2016,44.95,2714291,44.69,45.21,44.46
3/29/2016,44.44,2285249,44.33,44.655,44.21
3/28/2016,44.28,2853663,44.06,44.43,43.8
3/24/2016,44.07,4793328,43.7,44.35,43.39
3/23/2016,43.31,3467367,42.87,43.34,42.6
3/22/2016,42.94,2867945,43.03,43.13,42.705
3/21/2016,43.14,2059482,43.11,43.5,42.94
3/18/2016,43.26,5863440,43.72,43.77,43.03
3/17/2016,43.67,2618857,44,44.14,43.57
3/16/2016,43.91,2647928,43.85,44.01,43.36
3/15/2016,44.09,2804267,43.59,44.27,43.49
3/14/2016,43.77,1830652,43.59,43.91,43.5
3/11/2016,43.86,2087329,43.68,43.89,43.39
3/10/2016,43.4,2461141,43.3,43.66,43.14
3/9/2016,43.25,1894906,43,43.29,42.79
3/8/2016,42.78,1904774,42.59,43.06,42.55
3/7/2016,42.84,2727386,42.96,43.17,42.65
3/4/2016,43.3,2359020,43.09,43.49,43.03
3/3/2016,43.09,2187596,42.62,43.11,42.4487
3/2/2016,42.76,1973205,42.42,42.82,42.12
