date,close,volume,open,high,low
8/19/2016,13.2,1309264,13.29,13.29,13.115
8/18/2016,13.33,3201923,13.12,13.41,13.12
8/17/2016,13.17,1427020,13.28,13.31,13.08
8/16/2016,13.29,4383120,13.16,13.375,13.09
8/15/2016,13.26,3387947,13.19,13.36,13.11
8/12/2016,13.14,3352098,13.24,13.24,13.085
8/11/2016,13.25,2837461,13.33,13.41,13.13
8/10/2016,13.29,2662766,13.11,13.3,12.965
8/9/2016,13.11,3441221,13.12,13.25,13.04
8/8/2016,13.1,2798705,13.12,13.23,12.945
8/5/2016,13.16,3703411,12.99,13.205,12.9
8/4/2016,12.89,3902134,13.11,13.18,12.78
8/3/2016,13.08,4767186,13.11,13.2,12.71
8/2/2016,13.08,4337001,12.9,13.14,12.7701
8/1/2016,13.02,10763920,12.75,13.38,12.65
7/29/2016,12.4,4265914,12.18,12.525,11.91
7/28/2016,12.18,1838619,12.17,12.23,11.98
7/27/2016,12.2,2621182,12.47,12.47,11.9175
7/26/2016,12.43,1743457,12.28,12.47,12.22
7/25/2016,12.28,2064838,12.27,12.405,12.27
7/22/2016,12.27,1907683,12.34,12.445,12.23
7/21/2016,12.36,2410272,12.39,12.495,12.18
7/20/2016,12.41,2776935,12.08,12.48,11.935
7/19/2016,12,3103509,12.02,12.16,11.99
7/18/2016,11.99,4144311,11.42,12.01,11.295
7/15/2016,11.37,2027811,11.59,11.59,11.33
7/14/2016,11.58,3640163,11.46,11.63,11.3937
7/13/2016,11.32,4092408,11.58,11.6,11.26
7/12/2016,11.55,3593886,11.09,11.58,11.06
7/11/2016,11.01,3637476,11.16,11.25,11
7/8/2016,11.11,4310996,10.82,11.12,10.8
7/7/2016,10.68,2570178,10.65,10.84,10.57
7/6/2016,10.66,3948577,10.53,10.7,10.4
7/5/2016,10.75,4248059,10.93,11,10.69
7/1/2016,11.03,3470831,11.05,11.19,10.94
6/30/2016,11.07,4985340,11.15,11.22,10.89
6/29/2016,11.14,8525570,10.69,11.15,10.63
6/28/2016,10.56,7672121,10.5,10.71,10.37
6/27/2016,10.13,8479081,10.81,10.83,9.9
