Date,Tempature High (°F),Tempature Low (°F),Percipitation MTD (Inch),Percipitation YTD (Inch),Snow MTD (Inch),Snow YTD (Inch),Rain
1/1/2016,33,13.8,0.04,0.04,0.2,0.2,1
1/2/2016,33,13.7,0.04,0.04,0.39,0.39,1
1/3/2016,33,13.7,0.08,0.08,0.59,0.59,0
1/4/2016,33,13.6,0.08,0.08,0.71,0.71,1
1/5/2016,33,13.5,0.12,0.12,0.91,0.91,0
1/6/2016,33,13.5,0.12,0.12,1.1,1.1,1
1/7/2016,33,13.4,0.16,0.16,1.3,1.3,0
1/8/2016,33,13.4,0.2,0.2,1.5,1.5,0
1/9/2016,33,13.4,0.2,0.2,1.69,1.69,1
1/10/2016,33.1,13.3,0.24,0.24,1.89,1.89,0
1/11/2016,33.1,13.3,0.24,0.24,2.09,2.09,1
1/12/2016,33.1,13.3,0.28,0.28,2.28,2.28,0
1/13/2016,33.2,13.3,0.28,0.28,2.52,2.52,1
1/14/2016,33.2,13.3,0.31,0.31,2.72,2.72,0
1/15/2016,33.2,13.3,0.31,0.31,2.91,2.91,1
1/16/2016,33.3,13.3,0.35,0.35,3.11,3.11,0
1/17/2016,33.3,13.3,0.35,0.35,3.31,3.31,1
1/18/2016,33.3,13.3,0.39,0.39,3.5,3.5,0
1/19/2016,33.4,13.4,0.43,0.43,3.7,3.7,0
1/20/2016,33.4,13.4,0.43,0.43,3.82,3.82,1
1/21/2016,33.5,13.5,0.47,0.47,4.02,4.02,0
1/22/2016,33.6,13.5,0.47,0.47,4.21,4.21,1
1/23/2016,33.6,13.6,0.51,0.51,4.41,4.41,0
1/24/2016,33.7,13.7,0.55,0.55,4.61,4.61,0
1/25/2016,33.8,13.8,0.55,0.55,4.8,4.8,1
1/26/2016,33.9,13.9,0.59,0.59,5,5,0
1/27/2016,33.9,14,0.59,0.59,5.2,5.2,1
1/28/2016,34,14.1,0.63,0.63,5.39,5.39,0
1/29/2016,34.2,14.2,0.67,0.67,5.71,5.71,0
1/30/2016,34.3,14.4,0.71,0.71,5.91,5.91,0
1/31/2016,34.4,14.5,0.71,0.71,6.1,6.1,1
2/1/2016,34.5,14.7,0.04,0.75,0.2,6.3,1
2/2/2016,34.7,14.8,0.04,0.79,0.51,6.61,1
2/3/2016,34.9,15,0.08,0.79,0.71,6.81,0
2/4/2016,35,15.2,0.12,0.83,0.91,7.01,0
2/5/2016,35.2,15.4,0.16,0.87,1.18,7.28,0
2/6/2016,35.4,15.6,0.16,0.87,1.42,7.52,1
2/7/2016,35.6,15.9,0.2,0.91,1.61,7.72,0
2/8/2016,35.9,16.1,0.2,0.94,1.89,7.99,1
2/9/2016,36.1,16.4,0.24,0.94,2.09,8.19,0
2/10/2016,36.4,16.6,0.28,0.98,2.28,8.39,0
2/11/2016,36.6,16.9,0.31,1.02,2.6,8.7,0
2/12/2016,36.9,17.1,0.31,1.06,2.8,8.9,1
2/13/2016,37.2,17.4,0.35,1.06,2.99,9.09,0
2/14/2016,37.5,17.7,0.39,1.1,3.19,9.29,0
