date,close,volume,open,high,low
8/19/2016,95.68,3027181,95.69,95.85,95.27
8/18/2016,95.83,5063393,94.17,96.05,93.63
8/17/2016,94.57,4718392,92.77,94.64,92.65
8/16/2016,92.89,3787453,92.21,93,91.88
8/15/2016,92.5,2734009,92.46,93.27,92.28
8/12/2016,91.9,2899244,92.67,92.67,91.74
8/11/2016,92.96,2525110,92.72,93.45,92.6101
8/10/2016,92.44,2563778,93.41,93.4534,92.22
8/9/2016,93.07,2416526,93.75,94.18,93
8/8/2016,93.86,2491911,93.88,94.95,93.67
8/5/2016,93.85,3146703,93.17,94.65,92.62
8/4/2016,92.67,2245940,92.37,93.09,91.9426
8/3/2016,92.87,3907395,91.54,93.19,91.4
8/2/2016,91.3,3786974,92.39,92.59,90.68
8/1/2016,93.06,2797409,92.92,93.65,92.41
7/29/2016,93.05,2801094,92.55,93.31,92.26
7/28/2016,93.08,3104119,91.44,93.41,91.07
7/27/2016,91.63,3523143,92.73,92.95,90.94
7/26/2016,93.01,2886735,92.38,93.01,91.83
7/25/2016,92.28,2744418,92.71,92.76,91.86
7/22/2016,92.85,4207536,90.87,93.02,90.29
7/21/2016,90.93,6661076,91,92.299,90.72
7/20/2016,94.12,4245006,92.73,94.32,92.49
7/19/2016,93.95,3350425,93.46,94.05,92.88
7/18/2016,94.12,2721159,93.98,94.361,93.08
7/15/2016,93.98,4030880,94.97,95.335,93.71
7/14/2016,94.7,5331948,94.92,96,94.425
7/13/2016,94.14,5892686,92.55,94.79,92.0398
7/12/2016,92.06,4120818,91.78,92.72,91.43
7/11/2016,91.39,5302501,90.71,91.63,90.6936
7/8/2016,90.69,6448308,88.94,91.29,88.47
7/7/2016,88.03,4798736,87.99,88.47,87.58
7/6/2016,87.44,3740501,86.59,87.52,86.01
7/5/2016,87.16,4305615,86.85,87.49,86.767
7/1/2016,87.34,3772738,87.25,88.19,87.12
6/30/2016,87.25,5839470,86.74,87.39,84.8
6/29/2016,86.28,3763841,85.75,86.7646,85.63
6/28/2016,84.8,5954388,83.27,84.86,83
6/27/2016,82.49,5947876,84.42,84.46,81.962
6/24/2016,85.25,14193980,85.45,86.365,84.14
6/23/2016,88.54,2691373,88.79,89,87.93
6/22/2016,87.49,3399986,87.76,88.04,87.32
6/21/2016,87.65,4146039,86.79,88.085,86
6/20/2016,88.09,4312066,88.36,89.25,87.98
6/17/2016,87.58,4141824,87,87.802,86.87
6/16/2016,87.09,3428945,86.84,87.31,85.5
6/15/2016,87.54,3963504,88.36,88.67,87.45
6/14/2016,87.98,3993053,88.51,89.26,87.57
6/13/2016,88.71,4377018,88.49,89.61,88.22
6/10/2016,88.78,4315849,88.2,88.895,88.1
6/9/2016,89.39,3844793,88.53,89.53,88.04
6/8/2016,89.04,6135080,87.83,90.14,87.8
6/7/2016,87.57,3824415,86.68,88.08,86.68
6/6/2016,86.85,4361504,86.42,87.14,85.93
6/3/2016,86.38,4946733,85.55,86.65,84.61
6/2/2016,84.61,3506895,83.68,84.63,83.61
6/1/2016,84.11,4298435,83.63,84.19,82.91
5/31/2016,84.19,6086241,83.11,84.515,82.61
5/27/2016,82.97,3848208,82.365,83.08,81.79
5/26/2016,82.34,2978328,82.58,83.31,82.24
5/25/2016,82.91,3408509,81.84,83.22,81.545
5/24/2016,81.29,4676262,82.06,82.13,80.87
5/23/2016,81.49,3635834,82.25,82.61,81.45
5/20/2016,82.41,4309144,81.96,82.56,81.74
5/19/2016,81.44,3776685,81.55,81.82,80.68
5/18/2016,82.48,4432387,82.17,83.47,81.7
5/17/2016,82.19,5320415,82.02,83.48,81.54
5/16/2016,82.02,4194397,82.09,82.95,81.88
5/13/2016,82,4463204,83.53,83.84,81.79
5/12/2016,83.84,4178432,84.85,85.29,83.68
5/11/2016,84.49,4343566,86.1,86.4,84.48
5/10/2016,86.1,3341285,85.28,86.74,84.86
5/9/2016,84.63,4154706,85.66,85.66,84.14
5/6/2016,85.73,4009779,84.56,86.27,84.5
5/5/2016,85.19,4425588,86.13,86.56,85.09
5/4/2016,85.64,3532899,85.93,87.02,85.33
5/3/2016,86.77,4164312,87.17,87.34,85.68
5/2/2016,88.12,3492711,87.99,88.5,86.645
4/29/2016,87.23,5221055,87.86,89.23,86.73
4/28/2016,88.51,3863070,88.56,89.76,88.27
4/27/2016,89.17,3851810,88.79,89.8,88.67
4/26/2016,88.76,4831667,87.26,88.84,87.11
4/25/2016,87.61,4631663,89.09,89.3,86.89
4/22/2016,89.63,7055685,88,89.91,87.81
4/21/2016,87.32,9851790,86.6,88.65,85.2
4/20/2016,83.85,6300272,82.73,84.61,82.2
4/19/2016,82.24,6959390,81.98,83.015,81.34
4/18/2016,80.88,7348232,79.98,82.04,78.62
4/15/2016,81.21,3803987,82.19,82.42,81.02
4/14/2016,82.32,5102371,82.18,83.03,81.29
4/13/2016,81.72,4501737,80.67,82.148,80.17
4/12/2016,79.64,4628410,78.33,80.26,78.19
4/11/2016,78.69,4109595,79.14,80.51,78.58
4/8/2016,79.17,4211201,78.66,80.58,78.32
4/7/2016,78,4246126,77.96,78.67,77.42
4/6/2016,78.35,4373999,78.35,78.53,77.37
4/5/2016,78.62,3614251,77.55,78.98,77.29
4/4/2016,78.34,3464756,78.72,80.02,78.1664
4/1/2016,78.92,4232839,78.82,79.42,78.025
3/31/2016,79.55,5116730,80.29,80.71,78.5374
3/30/2016,80.56,3145887,80.4,81.45,80.17
3/29/2016,79.8,4381151,78.41,79.99,77.8
3/28/2016,78.81,6327007,80.75,80.92,78.47
3/24/2016,80.92,4212511,80.78,81.2651,80.04
3/23/2016,81.52,4268292,82.13,82.35,81.39
3/22/2016,82.06,5141815,83.05,83.27,81.71
3/21/2016,83.98,3872568,84.39,84.98,83.47
3/18/2016,84.42,8389350,83.45,85.3,83.27
3/17/2016,83.08,4969999,80.71,83.27,79.61
3/16/2016,80.31,3225109,80.14,80.785,79.37
3/15/2016,80.15,4676338,79.62,80.15,78.63
3/14/2016,80.35,4364926,80.7,81.47,80.15
3/11/2016,81.26,3734959,80.18,81.38,79.91
3/10/2016,79.38,3956226,80.59,80.68,78.56
3/9/2016,80.14,6028498,78.9,80.2,78.67
3/8/2016,78.25,5925127,80.64,81.06,78.1478
3/7/2016,81.45,6547659,80.03,81.57,79.75
3/4/2016,80.5,6413980,80.22,81.45,79.99
3/3/2016,80.01,5167442,79.86,80.5499,79.08
3/2/2016,79.5,5609869,80.24,80.83,79.25
3/1/2016,80.12,5909832,79.7,80.92,79.138
2/29/2016,78.86,5357682,79.81,79.98,78.75
2/26/2016,80,3836977,80.09,81.26,79.79
2/25/2016,79.32,3242962,79.5,80.35,78.53
2/24/2016,80.09,4800802,78.02,80.285,77.07
2/23/2016,78.95,4966300,80.5,81.048,78.79
2/22/2016,81.61,5447985,81.78,82.26,80.7
2/19/2016,79.9,4793155,78.52,80,78
2/18/2016,78.66,5578027,79.76,80.13,78.18
2/17/2016,79.96,6308000,78.72,80.5,78.47
2/16/2016,79.37,6639836,78,80.265,76.9026
2/12/2016,77.2,5716358,77.33,78.34,76.25
2/11/2016,75.54,6715172,75.73,76.31,73.59
2/10/2016,76.94,6260114,78.02,78.62,76.34
2/9/2016,77.12,7406069,75.1,77.85,75
2/8/2016,76.03,7602253,74.48,76.56,73.46
2/5/2016,75.03,5768221,75.21,76.01,74.2
2/4/2016,75.52,7297044,72.02,76.42,72.02
2/3/2016,72.26,6501237,71.99,72.3899,70.54
2/2/2016,71.71,8607227,73.26,73.36,71.17
2/1/2016,73.09,8401093,70.9,73.56,70.35
1/29/2016,72,6920502,70.5,72.03,70.17
1/28/2016,70.16,6740895,69.85,70.306,68.72
1/27/2016,69.06,6202008,70,70.9701,68.72
1/26/2016,70.04,6740833,69.34,70.47,69.11
1/25/2016,68.79,7169904,69.66,69.77,68.66
1/22/2016,69.99,15358270,71.34,72.35,68.43
1/21/2016,71,19535860,69.5,71.73,67.06
1/20/2016,73.61,10549830,72.68,74.15,71.57
1/19/2016,74.1,7470127,74.99,75.16,73.27
1/15/2016,74.11,7452338,72.84,74.27,72.63
1/14/2016,75.42,7457602,73.86,76.6,73.7
1/13/2016,73.85,8618412,76.2,76.84,73.21
1/12/2016,76.27,6985574,75.51,76.46,74.38
1/11/2016,74.81,7763513,74.36,75.05,73.63
1/8/2016,73.86,7567570,73.56,74.38,73.2
1/7/2016,73.08,9077530,73.39,74.19,72.424
1/6/2016,74.83,8124941,76.75,77.19,74.24
1/5/2016,78.21,6117372,79.01,79.3406,77.3
1/4/2016,78.97,6902604,76.87,79.04,76.13
12/31/2015,78.2,3754649,77.73,79.15,77.57
12/30/2015,78.51,3685493,78.66,78.78,78.16
12/29/2015,78.97,3505450,78.6,79.05,78.11
12/28/2015,78.34,3958393,78.49,78.73,77.94
12/24/2015,78.8,2327518,78.79,79.1,78.5001
12/23/2015,78.77,6148698,77.84,79.13,77.57
12/22/2015,77.06,5706495,76.06,77.59,75.87
12/21/2015,75.49,5247576,75.99,76.43,75.02
12/18/2015,75.43,10126330,76.82,76.83,75.28
12/17/2015,77.33,5891624,78.72,79.49,77.3
12/16/2015,78.91,5761315,77.1,79.02,76.84
12/15/2015,76.41,7788622,77.57,77.74,76.12
12/14/2015,76.88,7500970,77.5,77.97,76.42
12/11/2015,77.28,6100395,77.03,77.95,76.38
12/10/2015,77.45,6341037,77.54,78.62,77.31
12/9/2015,77.54,9972284,75.03,77.8,74.94
12/8/2015,75.6,8115302,76.34,76.69,74.78
12/7/2015,77.29,9414287,78.15,78.62,76.7
12/4/2015,78.31,11006860,77.37,78.625,77.03
12/3/2015,79.2,11254360,82.14,82.3,78.76
12/2/2015,82.08,7544266,84.19,84.37,81.68
12/1/2015,84.4,5399527,83.95,85,83.12
11/30/2015,83.95,6374123,84.84,84.95,83.94
11/27/2015,84.5,2120102,84.65,84.96,84.46
11/25/2015,84.63,3518610,84.43,84.95,84.27
11/24/2015,84.8,5125924,84.93,85.29,84.63
11/23/2015,85.11,4723226,86.86,87.48,84.91
11/20/2015,86.74,4400779,87.52,88.05,86.5
