date,close,volume,open,high,low
8/19/2016,72.81,15246870,74.1,74.29,72.67
8/18/2016,74.3,26855610,74.94,75.19,73.87
8/17/2016,72.93,14325640,71.99,72.95,71.99
8/16/2016,72.89,9762484,72.59,73.31,72.21
8/15/2016,73.32,9632209,73.81,74.01,73.11
8/12/2016,73.89,9993651,73.8,74.12,73.56
8/11/2016,73.8,6289428,74.5,74.8,73.53
8/10/2016,73.95,8044167,73.57,74.51,73.39
8/9/2016,73.54,6426463,73.36,73.88,73.08
8/8/2016,73.34,6576764,74,74.07,73.04
8/5/2016,73.76,5403996,73.46,73.95,73.46
8/4/2016,73.3,4907583,72.8,73.49,72.59
8/3/2016,72.94,6567366,73,73.4,72.51
8/2/2016,73.13,6510576,73.7,73.72,72.63
8/1/2016,73.78,5866116,72.81,73.99,72.81
7/29/2016,72.97,6302187,73.17,73.25,72.76
7/28/2016,73.24,4603137,73.14,73.32,72.47
7/27/2016,73.32,5771467,73.66,73.82,73.135
7/26/2016,73.73,5242513,73.71,74.07,73.41
7/25/2016,73.75,4733874,73.55,73.835,73.41
7/22/2016,73.55,4316633,73.76,73.91,73.42
7/21/2016,73.52,4432151,73.43,73.656,73.14
7/20/2016,73.79,5281885,73.88,74.11,73.63
7/19/2016,73.66,4797883,73.64,73.96,73.585
7/18/2016,73.84,5457237,73.64,74.18,73.53
7/15/2016,73.67,5994380,73.98,74.01,73.44
7/14/2016,73.7,6640921,73.79,74.11,73.61
7/13/2016,73.62,6393504,73.25,73.63,72.94
7/12/2016,73.27,12348480,73.56,73.73,73
7/11/2016,74.06,9032822,73.67,74.35,73.5
7/8/2016,73.84,9126311,73.82,73.85,73.24
7/7/2016,73.53,7480831,73.73,73.9321,73.15
7/6/2016,73.82,11056920,73.26,73.98,73.17
7/5/2016,73.14,10628680,72.75,73.62,72.68
7/1/2016,72.81,7637721,73.13,73.17,72.415
6/30/2016,73.02,8712829,72.57,73.195,72.32
6/29/2016,72.46,7013881,71.63,72.49,71.56
6/28/2016,71.51,8561106,71.76,71.87,70.67
6/27/2016,71.5,11344560,71.64,71.77,70.875
6/24/2016,71.96,15111310,70.55,72.72,70.51
6/23/2016,72.1,6965793,72.2,72.24,71.785
6/22/2016,71.75,8448218,71.6,72.25,71.565
6/21/2016,71.46,6674564,70.95,71.72,70.95
6/20/2016,71.1,7142215,71.31,71.78,71.05
6/17/2016,70.95,18058930,71.05,71.31,70.4
6/16/2016,71.3,6701745,71,71.46,70.8
6/15/2016,71.12,8010090,71.2,71.615,71
6/14/2016,70.95,9059671,70.66,71.17,70.2
6/13/2016,70.53,7907455,71,71.18,70.485
6/10/2016,71.14,7511335,71,71.41,70.68
6/9/2016,71.09,6065366,71.36,71.59,70.85
6/8/2016,71.28,6120862,70.85,71.45,70.8
6/7/2016,71.03,7311417,71.1,71.31,70.85
6/6/2016,71.05,9015831,71.52,71.55,71
6/3/2016,70.87,6369130,70.57,71.05,70.52
6/2/2016,70.95,6502846,70.5,71,70.145
6/1/2016,70.5,7221047,70.5,70.905,70.41
5/31/2016,70.78,8389098,70.58,71,70.48
5/27/2016,70.75,5773664,70.86,70.89,70.49
5/26/2016,70.85,8691924,70.69,71.375,70.6
5/25/2016,70.48,7263874,70.25,70.995,70.24
5/24/2016,70.24,8826271,69.65,70.42,69.55
5/23/2016,69.5,10098310,69.6,70.06,69.44
5/20/2016,69.86,16690410,69.33,70.14,68.85
5/19/2016,69.2,34965660,68.1,69.33,67.5
5/18/2016,63.15,22226970,63.02,63.777,62.72
5/17/2016,65.1,9252500,66.06,66.27,64.88
5/16/2016,66.02,10171350,64.86,66.35,64.68
5/13/2016,64.94,13744200,66.48,66.55,64.65
5/12/2016,66.85,9533351,66.55,67.05,66.38
5/11/2016,66.41,14592520,67.47,67.5,65.61
5/10/2016,68.79,6400988,68.92,69.13,68.45
5/9/2016,68.95,8624241,68.25,69.1,68.16
5/6/2016,68.25,9824875,66.91,68.26,66.8
5/5/2016,67.21,8089888,66.97,67.25,66.58
5/4/2016,67.19,6029418,66.85,67.49,66.44
5/3/2016,67,5922319,66.86,67.495,66.75
5/2/2016,67.59,7609525,66.62,67.7,66.53
4/29/2016,66.87,12083320,68.73,68.82,66.36
4/28/2016,68.91,4775923,69.07,69.62,68.75
4/27/2016,69.42,5146988,69.49,69.78,68.99
4/26/2016,69.3,6648430,69.7,69.8899,69.1
4/25/2016,69.47,5891904,68.55,69.5,68.06
4/22/2016,68.72,6215117,68.82,68.94,68.28
4/21/2016,68.47,6610168,69.47,69.68,68.24
4/20/2016,69.21,5406620,69.76,69.99,69.131
4/19/2016,69.77,8134158,69.79,70.08,69.5
4/18/2016,69.86,6622052,69.05,69.9,68.85
4/15/2016,69.06,7584493,68.94,69.41,68.94
4/14/2016,68.8,6977126,69.15,69.24,68.15
4/13/2016,69.15,6262658,69.01,69.42,68.87
4/12/2016,68.8,7732677,67.57,68.87,67.45
4/11/2016,67.4,7862563,68.01,68.37,67.38
4/8/2016,68.06,6515443,68.31,68.39,67.86
4/7/2016,68.22,6110467,68.83,68.93,67.945
4/6/2016,69.04,5362697,68.7,69.06,68.52
4/5/2016,68.64,5778838,69.03,69.25,68.27
4/4/2016,69.1,6823358,69,69.37,68.92
4/1/2016,69.06,6602174,68.02,69.2,68.02
3/31/2016,68.49,6283487,68.75,69.19,68.47
3/30/2016,68.8,7208443,68.33,69,68.29
3/29/2016,68.03,6490046,68.15,68.2091,67.43
3/28/2016,68.12,5598490,67.93,68.575,67.93
3/24/2016,68,6303522,67.43,68.04,67.38
3/23/2016,67.46,6109951,68.01,68.1,67.44
3/22/2016,67.87,7514506,68,68.68,67.79
3/21/2016,67.97,9409947,67.03,68.38,66.97
3/18/2016,66.95,23166550,67.48,68.03,66.75
3/17/2016,67.45,11832900,67.82,68.92,67.26
3/16/2016,67.99,8217421,67.94,68.34,67.25
3/15/2016,68.09,7565895,67,68.349,67
3/14/2016,67.36,6712395,67.15,67.67,66.96
3/11/2016,67.17,8290860,67.77,67.94,66.8
3/10/2016,67.41,10223550,67.55,68.035,66.4
3/9/2016,67.53,7824589,67.79,67.99,67.12
3/8/2016,68.04,10066450,67.73,68.47,67.485
3/7/2016,67.89,12824580,66.62,68.48,66.27
3/4/2016,66.78,10010320,66.14,67.28,66.09
3/3/2016,66.14,11845490,65.95,66.2,64.88
3/2/2016,66.21,9163358,66.21,66.67,66
3/1/2016,66.46,10427930,66.65,66.89,66
2/29/2016,66.34,9343504,66.63,66.95,66.22
2/26/2016,66.51,10980040,68.08,68.2,66.3
2/25/2016,68.04,9579014,67.45,68.13,67.33
2/24/2016,67.12,10286800,66.19,67.33,65.72
2/23/2016,66.48,11431990,65.84,66.6,65.28
2/22/2016,65.63,10581780,64.96,66.135,64.96
2/19/2016,64.66,15453820,63.89,64.765,63.44
2/18/2016,64.12,27891440,63.74,64.78,62.35
2/17/2016,66.11,12407460,66.1,66.61,65.81
2/16/2016,65.9,11339240,66.61,66.8,65.5
2/12/2016,66.18,9692145,65.52,66.25,64.87
2/11/2016,65.32,11185410,65.02,65.76,64.78
2/10/2016,65.79,9708981,66.19,66.59,65.645
2/9/2016,65.81,14641250,65.49,66.41,64.68
2/8/2016,66.9,20743400,66.5,67.15,65.163
2/5/2016,67,14184960,66.86,67.53,65.88
2/4/2016,66.42,12833160,65.76,66.55,65.01
