date,close,volume,open,high,low
8/19/2016,23.91,660314,23.44,24.15,22.74
8/18/2016,23.45,516852,23.29,23.61,23.19
8/17/2016,23.33,311583,23.4,23.62,23.22
8/16/2016,23.42,853534,23.07,23.51,22.95
8/15/2016,23.05,992152,23.35,23.58,22.98
8/12/2016,23.4,545073,23.58,23.91,23.26
8/11/2016,23.58,791858,23.67,24.035,23.48
8/10/2016,23.56,963586,23.9,24.09,23.43
8/9/2016,23.86,974702,24.38,24.64,23.74
8/8/2016,24.35,554404,24.72,24.95,24.34
8/5/2016,24.74,1039943,24.03,24.79,24.03
8/4/2016,23.94,423948,24.31,24.64,23.88
8/3/2016,24.23,721045,24.14,24.5,24.08
8/2/2016,24.23,778324,24.96,25.19,24.18
8/1/2016,24.96,504767,25.24,25.34,24.82
7/29/2016,25.12,605962,25.13,25.38,24.8
7/28/2016,25.11,978741,24.65,25.31,24.49
7/27/2016,24.7,616281,24.6,24.94,24.47
7/26/2016,24.61,658875,24.47,25.18,24.26
7/25/2016,24.38,1505378,25.1,25.47,24.19
7/22/2016,25.26,1541345,24.34,25.49,24.34
7/21/2016,24.11,626856,23.9,24.45,23.45
7/20/2016,24.02,415729,24.08,24.28,23.88
7/19/2016,24.12,489887,24.56,24.56,22.65
7/18/2016,24.42,597860,24.18,24.59,22.99
7/15/2016,24.51,578954,24.69,25.12,24.14
7/14/2016,24.52,661287,24.9,25.18,24.51
7/13/2016,24.84,797825,24.25,24.93,23.82
7/12/2016,24.22,644729,23.57,24.285,23.57
7/11/2016,23.81,478743,23.64,23.99,23.64
7/8/2016,23.82,844239,23.19,23.985,22.94
7/7/2016,23.06,495780,23.04,23.51,22.86
7/6/2016,23.18,778329,22.92,23.27,22.36
7/5/2016,23.03,746895,23.23,23.32,22.74
7/1/2016,23.32,479597,22.99,23.35,22.81
6/30/2016,22.97,916716,22.56,23.08,22.22
6/29/2016,22.4,1218362,22.32,22.91,22.1
6/28/2016,22.04,934979,21.82,22.09,21.69
6/27/2016,21.71,935608,21.88,22.16,21.35
6/24/2016,22.05,1387227,21.56,22.14,21.56
6/23/2016,22.4,887510,22.38,22.52,22.07
6/22/2016,22.15,1552707,22.31,22.39,21.7101
6/21/2016,22.31,6331999,22.25,22.99,22.02
6/20/2016,24.68,505296,24.69,25.15,24.48
6/17/2016,24.35,983265,23.97,24.37,23.874
6/16/2016,23.9,512235,23.76,23.96,23.39
6/15/2016,23.87,761386,23.98,24.4,23.7
6/14/2016,23.98,826585,24.5,24.67,23.76
6/13/2016,24.56,589434,24.55,24.7,24.35
6/10/2016,24.58,714876,24.68,24.92,24.07
6/9/2016,24.92,608505,25.02,25.17,24.6
6/8/2016,25.18,859956,25.12,25.4,24.97
6/7/2016,25.01,1485683,25.08,25.44,24.82
6/6/2016,25.62,775480,25.3,25.74,25.14
6/3/2016,25.23,1372751,24.6,25.305,23.718
6/2/2016,24.86,676933,24.92,24.98,24.5
6/1/2016,25,887659,24.73,25.02,24.37
5/31/2016,24.89,907423,24.56,24.96,24.56
5/27/2016,24.55,495426,24.4,24.69,24.28
5/26/2016,24.41,506518,24.26,24.565,23.9601
5/25/2016,24.27,1075250,23.61,24.44,23.4
5/24/2016,23.57,802046,23.09,23.76,22.94
5/23/2016,23.03,698235,23.64,23.765,23.01
5/20/2016,23.56,689101,23.55,23.7,23.37
5/19/2016,23.39,1054762,23.24,23.66,23.11
5/18/2016,23.39,785641,23.71,24.04,23.37
5/17/2016,23.76,1331750,23.33,24.4,23.33
5/16/2016,23.39,678631,23.69,23.9097,23.3
5/13/2016,23.66,936155,24.48,24.48,23.345
5/12/2016,24.64,403834,24.82,25.09,24.46
5/11/2016,24.8,534591,25.01,25.29,24.74
5/10/2016,25.135,581798,25.14,25.56,24.98
5/9/2016,24.94,924743,24.63,25.08,24.34
5/6/2016,25.25,670944,24.53,25.29,24.36
5/5/2016,24.6,413950,24.9,25.02,24.5
5/4/2016,24.87,673161,25.17,25.53,24.83
5/3/2016,25.33,557748,25.24,25.38,24.8301
5/2/2016,25.44,706726,25.45,25.6,25.06
4/29/2016,25.34,1045370,26.04,26.12,24.96
4/28/2016,26.18,485202,26.51,26.77,26.06
4/27/2016,26.61,686620,26.38,26.91,25.63
4/26/2016,26.27,710208,26.17,26.59,25.63
4/25/2016,25.74,582886,26.02,26.28,25.48
4/22/2016,26.18,1452484,25.68,26.46,25.54
4/21/2016,25.73,4117636,24.84,26.73,24.08
4/20/2016,28.46,863611,28.36,28.8,27.64
4/19/2016,28.48,742624,28.23,28.77,27.99
4/18/2016,28.05,655774,27.42,28.2,27.26
4/15/2016,27.43,560269,27.57,27.87,27.35
4/14/2016,27.56,436130,27.72,27.9,27.39
4/13/2016,27.7,626926,26.75,27.88,26.75
4/12/2016,26.49,509923,26.31,26.66,26.07
4/11/2016,26.24,442716,26.21,26.57,26.03
4/8/2016,26.16,521145,26.11,26.78,26.02
4/7/2016,25.88,838135,26.34,26.59,25.5848
4/6/2016,26.54,461739,26.51,26.74,25.65
4/5/2016,26.51,511414,26.82,27,26.44
4/4/2016,27.08,606996,26.99,27.52,26.33
4/1/2016,26.92,334875,27.04,27.04,26.32
3/31/2016,27.16,328912,27.11,27.28,26.95
3/30/2016,27.21,534797,27.22,27.44,26.915
3/29/2016,27.31,474669,26.53,27.32,26.26
3/28/2016,26.5,704332,27.42,27.42,26.25
3/24/2016,27.31,261073,27.06,27.31,26.16
3/23/2016,27.28,347082,27.28,27.74,27.1502
3/22/2016,27.31,394320,27.39,27.62,27.215
3/21/2016,27.62,481495,27.52,27.95,27.45
3/18/2016,27.64,760261,27.15,27.87,27.09
3/17/2016,27.11,760503,26.77,27.48,26.65
3/16/2016,26.73,469904,26.26,26.86,26.205
3/15/2016,26.45,412837,26.55,26.65,26.1
3/14/2016,26.74,654646,26.56,26.88,26.09
3/11/2016,27.54,332904,27.59,27.79,27.42
3/10/2016,27.41,782761,27.51,27.6,26.97
3/9/2016,27.44,654509,26.83,27.51,26.2225
3/8/2016,26.64,653040,27.23,27.46,26.6
3/7/2016,27.48,1217156,27.23,27.725,26.85
3/4/2016,27.29,916212,26.51,27.85,26.51
3/3/2016,26.51,1756790,25.76,26.59,25.675
3/2/2016,25.65,1962629,26.74,27.05,25.5
